type,floor,rent,spc1,spc2,lat,lng,toilet,station,parking,internet,gas,washing_machine,air_conditioner,refrigerator,elevator,microwave,breakfast,heating,move_in_date,sink,introduce
DDDGG,1,50,58,34.66,37.569326,127.033743,1,0,1,1,1,1,1,1,1,1,0,0,1,1,도배장판 해드립니다 층간소음없는집
DDDGG,B1,40,45,17.02,37.565735,127.033513,1,0,1,1,1,1,1,1,1,1,0,0,1,1,홍익동 넓은 다가구 1.5룸
OPST,14,63,44,21.9,37.559906,127.069378,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"중랑천고층뷰,저렴한월세 장한평역서희스타힐스오피스텔"
OPST,5,70,55,23.73,37.560731,127.065465,1,1,0,1,1,1,1,1,1,1,0,0,1,1,장한평역 초역세권 전입 가능한 풀옵션 신축급 오피스텔 부라다
OR,1,30,16.53,16,37.535879,127.059636,1,0,1,1,1,1,1,1,1,1,1,0,1,1,"삼정 실5, 깔끔한 1층 원룸"
OR,B1,38,21.69,21,37.548881,127.067075,1,0,0,1,1,1,1,1,1,1,1,0,1,1,"화양사거리 위치, 즉시입주가능, 풀옵션 반지층 분리형 원룸"
DDDGG,B1,50,24,21.49,37.553671,126.9401,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"주방분리형원룸, 풀옵션, 신촌역 도보6분, 버스정류장 도보 6분, 이마트"
OR,2,60,19.8,19,37.565038,126.924926,1,0,1,1,1,1,1,1,1,1,1,0,1,1,O 신축급 O 연남동 조용한 주택가 O 
OR,2,60,18,17,37.565038,126.924926,1,0,1,1,1,1,1,1,1,1,1,0,1,1,가성비 좋은 연남동 수리한 원룸 
OR,4,46,26,24,37.563012,126.926085,1,0,0,1,1,1,1,1,1,1,0,0,1,1,O 옥탑 옥상단독사용 O 깔끔한 분리형 O 기본옵션 O
OR,2,55,33,23.14,37.544241,127.084427,1,0,0,1,1,1,1,1,1,1,0,0,1,1,"풀옵션 원룸, 어린이대공원 인근"
OR,3,47,15,12,37.538407,127.079864,1,0,0,1,1,1,1,1,1,1,0,0,1,1,핫한월세  풀옵션   월세에모든공과금포함요금  건대생에인기
DDDGG,B1,45,29.7,29,37.543875,127.089159,1,0,0,1,1,1,1,1,1,1,1,0,1,1,깔끔하고 넓은 풀옵션 통원룸
DDDGG,3,45,17.5,17,37.555347,127.079824,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"군자역 초역세권 원룸, 옥상이용가능"
OR,5,50,17.97,17,37.555768,127.079246,1,1,0,1,1,1,1,1,1,1,1,0,1,1,"지하철군자역 도보1분 교통편리, 5호선,7호선 출퇴근직장인 적합"
