atclNm,flrInfo,rentPrc,spc1,spc2,lat,lng,atclFetrDesc,toilet,station,parking
OR,B1,38,19,17,37.509296,126.931714,"넓은 원룸, 침대있음,  상태 아주깨끗하고  저렴",1,0,1
OR,3,50,21,21.49,37.509138,126.93186,역세권신축급의 채광조은 큰 방,1,0,1
OR,3,40,19,19.84,37.512297,126.935181,햇살맛집넉넉한평수깔끔한내실,1,1,1
OR,2,40,21,21.49,37.509329,126.931514,역세권 신축급의 햇살조은 깔끔한 원룸,1,0,1
OR,B1,43,23,22,37.509296,126.931714,"넓은방 아주 깨끗함, 바로 입주, 침대도 있음",1,0,0
OR,3,45,16,16.5,37.512176,126.946913,깔끔하고 학원가에 인접한 원룸입니다,0,0,1
OR,2,30,25,20,37.502483,126.924278,,1,0,1
OR,2,40,25,20,37.502583,126.927677,,0,1,1
OR,2,35,25,19,37.502724,126.924984,,1,0,1
OR,2,35,25,20,37.501324,126.927407,,0,1,1
DDDGG,B1,45,72,19.83,37.501173,126.925904,초역세권 합리적인 금액에 좋은 컨디션을 보여주는 원룸 소개해드립니다,1,1,0
DDDGG,2,40,79,23.1,37.500373,126.933337,채광 좋은 가성비 꿀 매물,1,1,0
OR,B1,45,29,17.1,37.501511,126.950602,상도역4분. 화장실이 넓은방. 화이트톤. 안전한집,0,1,0
OR,B1,35,19,5,37.500656,126.934141,중문이 있어 분리형 느낌이 나는 지층 깔끔한 원룸입니다,1,0,0
OR,2,40,177,16.1,37.513009,126.945274,노량진역 300m로 최고의 입지,1,1,0
OPST,3,45,33,21.84,37.500139,126.927603,,1,1,1
OR,B1,40,22,20,37.501137,126.952358,화이트톤 가성비 좋은 원룸이 왔어요,0,0,1
OR,4,52,170,19.84,37.50445,126.925157, 서울지방병무청역 보라매역 초근접 대방동 깔끔한분리형원룸,0,1,0
OR,3,43,18,15,37.511864,126.947406,학원가 가성비 좋은 풀옵션 원룸,1,0,0
OR,4,60,19,19.83,37.505552,126.956334,중문 초입 대형원룸 평지 월차임에 전기만 별도,0,0,1
OR,1,40,18,14.8,37.508545,126.94638,안심추천.깔끔.풀옵션.가성비굿.합격방.,1,0,0
OR,3,60,22,22,37.508188,126.95698,신축원룸 정남향 녋은원룸 중앙대4분거리 중대병원6분거리 깨끗한원룸,1,0,1
OR,3,40,23,19.8,37.511081,126.947823,학원가인접 채광좋은 저렴한집,1,0,0
DDDGG,3,25,19,19.8,37.503941,126.924635,"리모델링해줌,혼자살기좋음",0,1,1
OR,1,40,-,19.83,37.501772,126.947055,상도역 코앞 1.5룸형 리모델링 원룸,0,1,0
OR,2,43,33,29.75,37.500874,126.936696, 말도 안되는 매물 나왔습니다 ,0,1,0
OR,4,49,26,19.84,37.507749,126.932143,분리형 꿀방깔끔한 화이트톤풀옵션,0,0,1
OR,2,32,23,23.14,37.501191,126.948946,저렴하다상도역역세권당일입주,1,1,0
DDDGG,B1,40,45,45.1,37.502735,126.945602,"바로입주,투룸,거실,반지층 햇빛들어옴,상도역 5분",0,1,1
OR,1,35,23,22,37.504562,126.935673,,0,1,0
DDDGG,1,55,27,23,37.508656,126.944549,더블역세권 채광좋은 저렴한 1.5룸 월세 빠른입주,0,0,0
OR,3,55,26,14.97,37.509139,126.946723,노량진역.신축급넓은원룸. 주거지역으로 쾌적.,1,0,0
OR,3,45,20,19.83,37.502288,126.933696,신대방삼거리역 도보5분 지상층 가성비최고 채광치안좋음 보증금조절가능,0,1,0
OR,4,40,16,13.2,37.512288,126.93532,위치 좋고 가성비 좋은 원룸입니다,0,1,0
OR,1,35,20,16.53,37.500817,126.924228, 보라매역 초역세권 신축원룸 ,0,1,0
OR,4,40,16,16,37.511082,126.947823,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸,0,0,1
OR,3,40,23,19.8,37.512389,126.935522,깔끔하고 공부하기에도 좋은 원룸,0,1,0
OR,5,40,15,15,37.511377,126.947417,노량진 가성비좋은 깨끗한 풀옵션 원룸 즉시입주가능,1,0,0
OR,2,40,23,19.8,37.508459,126.947545,저렴한가격에 정말 깔끔한 귀한 원룸,1,0,0
OR,B1,32,15,12,37.50877,126.947283,신축으로 방이크고 방음이 좋은 풀옵션원룸,0,0,1
OR,3,39,16,16.5,37.501733,126.933484,7호선 역세권 풀옵션 보증금 적은 가성비 원룸,1,1,0
OR,4,43,17,16,37.511864,126.947406,노량진 무융자 리모델링한 깨끗한 위치좋은 풀옵션입니다,1,0,0
OR,2,47,19,19,37.510569,126.945912,CCTV가 설치되었으며 밝고 깨끗한 신축 원룸,0,0,1
OR,1,46,19,16.5,37.508989,126.941266,깔끔한 원룸 찾으시는분 구경하세요,0,1,0
OR,2,28,16,13.22,37.500941,126.930359,역세권 진짜 역 3분 인테리어 풀옵션반할수밖에,0,1,0
OR,B1,40,30,25,37.504386,126.951676,중대후문가까운 넓은 가성비 원룸,0,1,0
OR,2,46,19,17.5,37.508989,126.941266,깔끔한 원룸 찾으시는분 구경하세요,0,1,0
OR,1,36,19,16.5,37.508989,126.941266,깔끔한 원룸 찾으시는분 구경하세요,0,1,0
DDDGG,1,35,23,23.1,37.511878,126.955386,노들역3분 방1 넓고 분리형으로 내부좋습니다,0,1,0
OR,2,37,19,16.5,37.512074,126.936564,깔끔한 풀옵션 원룸 나왔습니다.,0,1,0
OR,1,25,19,16.53,37.501423,126.927804,7호선 신대방삼거리역확인매물취향저격풀옵션역도보3분,0,1,0
OR,2,45,21,12.07,37.500676,126.930013,초역세권 엘베있음 대형창문있는 원룸 주차가능 즉시입주,0,1,0
OR,1,40,13,13.2,37.501837,126.924584,실제사진O｜즉시 입주O｜현관보안O｜주차O｜보라매역 인근의 원룸,0,1,0
OR,1,34,15,14.21,37.509568,126.946013,가성비좋은 깔끔한 풀옵션 원룸,1,0,0
OR,1,40,13,13.2,37.511298,126.944095,가성비최고 관리잘 된 풀옵션 원룸 학원가 인근 입지굿,1,1,0
OR,B1,40,18,16.5,37.501173,126.925904,실제사진O｜즉시 입주O｜현관보안O｜인근에 학교가 많은 아늑한 방,1,1,0
OR,B1,38,15,14.8,37.501832,126.92791,실제사진O｜즉시 입주O｜현관보안O｜신대방삼거리역과 가까운 가성비방,1,1,0
OR,B1,35,19,16.52,37.500656,126.934141,상태좋은 지층 원룸 입니다  구경 오세요,1,0,0
OR,B1,50,20,20,37.501511,126.950602,상도역 중대후문 신축급 풀옵션 원룸,0,1,0
OR,2,60,19,19.83,37.508188,126.95698,정문 중문 7분 신축급 원룸 보증금 부담 없는 집,0,0,1
OR,B1,50,79,19.98,37.50054,126.924358,"깔끔하고 넓은 원룸, 보라매역 초역세권, 조용한 동네",0,1,0
OR,2,49,30,18,37.506221,126.948326,상도역.신축급 컨디션. 주거지역 조용하고 안전해요,0,1,0
OR,1,55,16,16.53,37.512324,126.943333,새단장한 풀옵션 넓은 원룸,0,1,0
OR,2,52,23,19,37.501142,126.950621,"상도역 5분, 중앙대 10분 채광좋은 풀옵션",0,1,0
OR,6,40,13,13,37.51255,126.943223,노량진역 학원가 인접 채광좋은 풀옵션 원룸,0,1,0
OR,1,30,-,23.14,37.500217,126.939336,2018년식 보증금조절가능 분리형 넓은 평수 쾌적한 집,1,0,0
DDDGG,B1,35,32,32.29,37.501106,126.935096,수리됨평지역세권옥탑방5백에25만원있음여자분환영옵션에어콘있음,1,0,1
OR,4,49,-,19.83,37.501649,126.93424,7호선 역세권 꿀매물 넓고 깔끔한 리모델링 원룸,0,1,0
DDDGG,B1,40,36,33,37.502735,126.945602,상도역 역세권 가성비 좋은 반지층 2룸,0,1,0
OR,2,38,80,11,37.511277,126.941834,조용하고 깨끗한 신축급원룸입니다.,0,1,0
OR,1,45,12,12,37.513028,126.942476,지하철2분거리  리모델링해서 깨끗합니다.,0,1,0
OR,3,48,15,15,37.512242,126.945966,채광굿 크기굿 위치굿 관리잘된 풀옵션 원룸,0,1,0
OR,2,33,16,13.22,37.500816,126.924228,"급함 계약방 너어,무나도 아름답소,",0,1,0
OR,1,35,14,14,37.505853,126.95492,중앙대 중문5분 1층 원룸,0,0,0
OR,2,47,21,17.85,37.500712,126.934578,완전신축 TV 스타일러 무인택배함 이런방이 이가격 무야호,0,0,1
DDDGG,1,35,20,16,37.511765,126.955285,노들역 초역세권 풀옵션 저렴한 원룸 월세,0,1,0
OR,B1,45,20,18,37.506346,126.946436,상도역 풀옵션 저렴한 원룸 월세,1,1,0
OR,1,27,14,14.92,37.503849,126.934701,7호선 장승배기역 도보5분 원룸,0,1,0
OR,1,50,25,20,37.508373,126.956318,,0,0,0
OR,2,35,25,20,37.500656,126.934141,,0,0,1
OR,4,55,25,20,37.505351,126.946073,,0,1,0
VL,2,40,78,52.26,37.506735,126.940371,,0,1,0
OR,2,40,21,20,37.510272,126.925894,"대방역 3번출구 신길초옆 노량진 공시생, 여의도 직장인 강력추천.",0,1,1
OR,2,36,21,17.52,37.501292,126.939943,장승베기역세권 이정도 분리형 본사람,0,1,0
OR,2,45,26,23.14,37.500712,126.934578,,0,0,1
OR,3,50,18,15,37.510096,126.941301,풀 옵션의 조용한 주택가 원룸입니다,0,1,0
OR,1,45,49,17,37.510755,126.941418,조용하면서 전용이 넓은 원룸입니다,1,1,0
DDDGG,2,60,40,40,37.510344,126.938673,노량진역 동작구청 후문뒤 풀옵션 방3칸즉시입주가,0,1,0
OR,2,45,19,16.53,37.500739,126.930946,신대방삼거리역 도보3분 초역세권 융자없는 지상층 풀옵션 원룸,0,1,0
OR,1,40,16,16,37.510007,126.945895,새단장한 풀옵션 넓은 원룸,1,0,0
OR,3,43,13,13,37.51255,126.943223,노량진역 초역세권 학원가 풀옵션 원룸,0,1,1
OR,4,35,18,16,37.51147,126.926318,"대방역 바로앞, 저렴한 풀옵션 원룸 ,깨끗, 빠른입주가능",1,1,0
OR,5,42,16,14,37.510442,126.944243,학원가 마을버스길 인근 단기가능한 깔끔한 원룸,0,0,1
OR,B1,40,29,20.4,37.50066,126.951552,융자없는집. 넓고관리잘되는집. 가성비좋은집,0,1,0
OR,B1,45,30,19.8,37.501948,126.950379,상도역. 대로변신축. 중대통학가,0,1,0
OR,2,35,19,16.53,37.504286,126.924723," S 즉시가능, 주차가능, 가성비 좋은 지상층 풀옵션",0,1,0
OR,B1,50,21,19,37.501948,126.950379,상도역 큰대로변 신축급 원룸,0,1,0
OR,B1,40,30,19,37.50066,126.951552,한학기가능. 중대통학가능한 가성비 원룸,0,1,0
DDDGG,3,42,19,16.53,37.503059,126.948727,,0,1,0
OR,B1,30,22,20,37.504423,126.952741,중대후문앞 넓고 저렴한 원룸.,1,0,0
VL,2,40,19,16.53,37.501837,126.924584," S 지상층 풀옵션, 남향, 주차가능, 즉시가능, 역세권",0,1,0
OR,1,41,16,13.22,37.501564,126.948299,,0,1,0
DDDGG,1,45,40,35,37.510832,126.94097,투룸입니다,0,1,1
OR,2,45,-,19.83,37.503396,126.933766,장승배기역 바로앞 깔끔한 양창 원룸,1,1,0
OR,3,50,23,19.83,37.504181,126.934127,요즘 보기 힘든 큰방이면서 금액도 착해요,0,1,0
OR,3,45,23,23.2,37.502583,126.927677,신축급 깔끔한 지상층 원룸 월세,0,1,1
OR,3,45,19,16.52,37.502288,126.933696,"신대방삼거리역, 장승배기역 7호선 더블역세권 원룸",0,1,0
OR,B1,35,19,16.52,37.504103,126.934724,조용한 주택가 깔끔한 가성비 원룸,0,1,0
OR,1,37,16,14,37.512491,126.944764,노량진 학원가 3분거리 내 단기가능 풀옵션 원룸,0,1,0
OR,B1,35,17,14,37.511802,126.942184,노량진 학원가 단기가능한 깔끔한 반지층 원룸,0,1,0
OR,5,47,-,14.88,37.511298,126.944095,안심추천.깔끔.풀옵션.가성비굿.,1,1,0
OR,B1,42,30,30.51,37.51269,126.935376,올수리 되어있음 깨끗하고 조용함.개발지역 아님,0,0,0
OR,6,38,14,14,37.511277,126.941834,노량진역 가까운  리모델링 깔끔한 풀옵션 원룸 가성비좋아요,0,1,0
OR,1,43,29,18.1,37.508488,126.946086,실2층 지상층. 쾌적한 준신축. 풀옵션 관리잘되는집,0,0,0
OR,B1,38,19,16.52,37.501832,126.92791,신대방삼거리역 도보 3분 역세권 가성비 좋은 원룸,0,1,0
OR,B1,33,19,16.52,37.504157,126.94537,가성비  갑인 원룸 투척이요,0,1,0
OR,B1,32,19,16.52,37.502576,126.927457,"신림선, 7호선 더블역세권 원룸 가성비 좋은 원룸",0,1,0
OR,1,35,16,13.22,37.497969,126.931852,문.의.다.수신축 깔끔한 화이트톤 인테리어 ,0,1,0
OR,1,35,33,19.8,37.49447,126.929845,신대방삼거리역과 보라매병원역 사이 초가성비 원룸,0,0,0
OR,3,42,23,23.14,37.495266,126.925819,"주차가능,보라매병원 도보5분, 방 넓고 깨끗한 풀옵션 1룸 월세",1,0,0
DDDGG,1,60,30,25.8,37.497614,126.933795,지상층 저렴한 풀옵션 투룸 즉시입주 융자무,0,0,0
OR,1,30,26,19.83,37.497151,126.924783,신대방삼거리역 도보5분 신축급 가성비최고 저렴한월세 완전깔끔,0,1,0
DDDGG,4,55,30,18,37.494956,126.926344,신대방삼거리역 신축급 풀옵션 분리형 원룸 월세,0,0,0
OR,B1,30,19,19.83,37.495198,126.924997,"보라매병원 도보5분이내,신축급 분리형 풀옵션 1룸 ",0,0,1
DDDGG,2,25,31,31.78,37.499388,126.939631,교통편리한 주택가 큰평수 원룸,0,0,1
OR,3,50,33,21.49,37.494807,126.956632,숭실대 중문과 메인상권 초역세권 저렴한 지상층 원룸,0,1,0
OR,B1,35,19,16.53,37.497686,126.926669,지층같지 않는 1층 원룸입니다. 깔끔합니다,1,1,0
OR,B1,35,23,22,37.49447,126.929845,보라매병원 인근 사이즈크고 가성비까지 챙기는 풀옵션원룸,0,0,1
DDDGG,5,48,42,17,37.497305,126.924527,"xi큰길위치, 옵션O, 내부계단, 4층높이, 빠른입주가능.",0,1,1
OR,B1,39,33,19.84,37.493021,126.955837,숭실대입구역 1번 출구 역세권 매우 저렴한 분리형 원룸,0,1,0
OR,2,47,30,19.84,37.497156,126.925289,신대방삼거리역 도보 5분 가성비 끝판왕 수납많고 전자식 건조대까기,0,1,0
OR,2,38,23,23.2,37.496401,126.929182,가성비 좋은 신축급 깔끔한 지상층오픈형원룸,1,1,0
OR,1,30,25,20,37.496456,126.929506,,0,1,1
OR,2,28,25,20,37.494497,126.926194,,0,1,1
OR,1,40,25,20,37.496289,126.929131,,0,1,1
OR,1,35,25,20,37.496915,126.926035,"신삼역 역세권 깔끔한 신축급 원룸입니다,",1,1,0
OR,B1,33,21,19.83,37.483033,126.979329,융자 없는 깔끔 저렴 오픈형 원룸 ,0,1,0
OR,B1,25,16,16.56,37.496164,126.982131,"반지층, 매우저렴, 1인가구, 대로변",1,0,0
DDDGG,2,35,64,13.2,37.487624,126.967368,"카카오대출가,남성역도보7분,도로변바로안쪽위치,풀옵션가성비최고",1,0,0
OR,1,37,20,16.2,37.487902,126.965408,급월세.방1.풀옵션 상태양호.평지.,0,0,1
OR,B1,43,-,19.83,37.481415,126.968975,"신축급 건물의 깔끔한 풀옵션, 채광O, 애완O, 보증금조율O",1,1,0
OR,4,45,26,19.83,37.480853,126.976216,급매물 저렴한 풀옵션 원룸,0,0,0
OR,4,45,-,19.83,37.480853,126.976216,"초저렴 풀옵션 원룸, 역세권",1,0,0
OR,2,40,24,23.14,37.496963,126.923002,1.5룸 큰방 가성비 최고 보증금조절가능,1,0,0
OR,B1,40,29,29.8,37.496963,126.923002,실제사진O｜즉시 입주O｜주차O｜너무 넓은 반지층 분리형 원룸,1,0,0
OR,2,29,20,19.83,37.497541,126.923334,보라매역 도보4분 초초역세권 가성비최고 풀옵원룸 보증금조절가능,0,1,0
OR,4,50,25,20,37.496672,126.923428,,1,0,1
VL,1,35,23,19.84,37.497148,126.920298,보라매역 4분더블역세권가성비 최고 원룸,0,1,0
OR,1,35,23,19.84,37.497148,126.920298,보라매역 4분더블역세권가성비 최고 원룸,0,1,0
OR,2,35,25,20,37.499025,126.922133,이가격에 가스까지 포함이라니 놓치지 마세요,0,1,1
DDDGG,2,40,24,18.18,37.498987,126.921844,주차가능. 위치 좋은 가성비 원룸,1,1,0
OR,1,32,19,16.53,37.487234,126.908894,"초역세권 완전 예쁘고, 주차가능한 원룸입니다",0,1,0
DDDGG,2,35,27,27,37.496297,126.916501,"보라매초교옆,2층 방2칸,4월말이사,주차안됨",0,1,1
OR,4,40,21,18,37.486528,126.90947,깔끔한 분리형 원룸이 나왔습니다,0,1,0
OR,1,50,19,16.5,37.490024,126.910641,,0,1,0
OR,B1,37,19,16.5,37.486569,126.908603,,0,1,0
OR,B1,30,21,17,37.499418,126.923459,보라매역인근 대로변 가성비 좋은 원룸,0,1,0
OR,B1,45,85,29.7,37.48839,126.907975,신축 도로가. 풀옵션,0,1,0
OR,3,40,13,13.2,37.488238,126.910468,주차협의후결정,0,1,1
OR,1,50,-,18,37.490024,126.910641,신축급 깔끔한 풀옵션 월세입니다.,0,1,0
OR,2,55,13,13.2,37.486589,126.909721,,0,1,1
OR,2,40,26,19.8,37.498987,126.921844,초초역세권 지상층 넓은 원룸,0,1,0
OR,1,25,23,19.83,37.489094,126.909658,구름위 떠있는 기분화이트톤 분리형 원룸,0,1,0
OR,B1,33,23,19.84,37.487234,126.908894,2호선 신대방역 초역세권 도보5 컨디션 최상급 넓고 깔끔한 방,0,1,0
OR,1,33,23,19.83,37.486528,126.90947,신대방역 도보3분 실매물 실가격 가성비 최고 원룸,1,1,1
OR,2,45,26,23.14,37.495843,126.923283, 무드등 분리형원룸 FULL 빌트인 동일 가격대 최고집 ,0,1,0
OR,1,30,25,20,37.499025,126.922133,보라매역 역세권 놓치시면 후회할만한 매물을 가지고왔어요,0,1,0
OR,B1,30,23,16.52,37.486631,126.907637,"깔끔한 신대방역세권 대로변 원룸, 융자없는집",0,0,1
OR,2,50,23,19.84,37.496672,126.923428,"깔끔한 원룸, 풀옵션, 넓은 방",0,0,1
OR,1,55,20,20,37.508522,126.95904,"높은1층, 중앙대4분 중대병원 4분거리 풀옵션 조용한원룸 햇빛굿",1,0,0
OR,3,45,74,19.83,37.508284,126.958446,정문 3분 대형 풀옵션 원룸 위치 좋고 비용 좋아요.,0,0,0
DDDGG,3,45,16,16.52,37.507881,126.957607,"정문 3분 풀옵션 원룸 월차임에 수도세, 인터넷 포함 가성비 굿",0,0,1
OR,2,35,16,13.22,37.503202,126.922151,안심추천 21년 신축 마지막찬스 주인공이 되세요,0,1,0
APT,7,58,24,16.67,37.57243,127.0167,동묘역1분 전입가능 현관보안O 풀옵션 빠른입주가,1,1,0
OPST,3,50,33,23.4,37.60491,126.964743,,1,0,0
OR,B1,55,16,16.5,37.605827,126.956718,상명대 후문 예쁜 쉐어하우스,0,0,1
OR,3,50,20,17,37.551282,127.143474,깔끔한 풀옵션원룸 명일역초역세권 교통노선 굿,0,1,1
DDDGG,B1,40,117,34,37.543592,127.136307,굽은다리역세권 전용이 넓고 큼직한 2룸 즉시입주,1,0,0
DDDGG,1,30,28,28,37.543243,127.1451,"수리되어 깨끗한 원룸, 굽은다리역 5분, 주인 좋음,",0,1,0
DDDGG,B1,40,35,33,37.549438,127.140364,"GOLD, 방2화1, 넓은편임, 명일역 , 입주하시",0,1,1
DDDGG,2,50,39,39.6,37.559444,127.168803,저렴하고 쾌적한 투룸 월세 I 깨끗한 거주환경 I 상일동역 도보권,0,1,1
OPST,6,60,38,18.52,37.564434,127.173736,대로변 버스정류장 바로 앞 귀한 오피스텔 교통주차편리,1,0,1
OPST,2,45,25,13.44,37.565221,127.172935,복층풀옵션 I 사업자가능 I  부가세별도 I  입주협의,0,0,0
OPST,4,50,25,13.44,37.565221,127.172935,관리비저렴하고 혼자살기 좋은 저렴하고예쁜복층오피스텔,0,0,1
OR,6,40,19,16.5,37.510233,126.898609,"신도림역 도보역세권 풀옵션,엘베,뷰좋음,주차,즉시입주가능",0,0,1
OR,4,50,-,28,37.504594,126.921608,,1,1,0
OR,3,45,33,16.5,37.522185,126.903477,AA영등포시장역 소액보증금 저렴한월세 가성비 좋은 원룸,0,1,0
DDDGG,B1,30,20,20,37.506098,126.902553,"올수리,반지층,에어컨옵션.주방분리형,조용한주택가,빠른입주가능",0,0,0
OR,4,45,19,19.83,37.508632,126.897266,적절한수납공간 있을건다있는 풀옵션원룸,1,0,0
OR,B1,40,19,19.83,37.509788,126.902409,관리잘되고 저렴한 깔끔하고 조용한 풀옵션원룸,1,0,0
DDDGG,6,40,58,30,37.507905,126.902531,방1大 화장실 주방 세탁실 구분,0,0,1
OR,6,55,16,16.52,37.527046,126.894821,"최저가,원룸,관리비포함55만,여성전용,초역세권,상태깨끗,풀옵션,전입신고O",0,1,0
OR,4,43,23,18,37.508632,126.897266,신도림역 최저월세,1,0,1
OR,2,50,23,18,37.508256,126.897549,4년차 신축급 깔끔한 원룸,0,0,1
OR,2,28,16,13.22,37.499387,126.917514,,0,1,0
OR,2,48,19,19.8,37.489804,126.903426,2호선 구디역 도보7분 신축급 컨디션 크고 깨끗한 분리형 원룸,1,0,0
OR,2,50,30,18.2,37.499131,126.916718,보라매역 도보 5분 이내 화이트톤 정남향 밝은방 넓고 깨끗해요,0,1,0
OR,2,37,19,19.8,37.491922,126.904675,강남성심병원 인근 2호선 구디역 도보15분 가성비 좋은 원룸,1,0,1
OR,3,35,16,16.5,37.488443,126.904334,2호선 구디역 초역세권 풀옵션 깔끔한 분리형 원룸 채광좋아요,0,1,0
OR,2,30,73,18.4,37.497381,126.915215,굿추천.지상층 가성비최고.풀옵션 원룸.보라매역과 보라매공원 도보.빠른입주,1,1,0
OR,6,45,22,22,37.491601,126.90782,공실 풀옵션 리모델링 원룸 ,1,0,1
OR,2,30,17,17.5,37.497381,126.915215,"실 매물,가성비풀옵션,보라매공원앞,2층,즉시입주가능",0,1,0
DDDGG,2,20,16,11.57,37.498663,126.901556,주변 대림역과 신풍역의 2층 방1칸 월세,0,0,1
OR,1,40,20,16,37.492594,126.906659,강남성심병원옆 보증금조정가능,1,0,0
OR,2,50,-,26,37.491684,126.904428,풀옵션. 분리형원룸 입주일협의가능,0,0,0
OR,B1,40,12,11.61,37.497741,126.915331,신축급 분리형원룸 큰도로가 안심,0,1,0
OR,2,50,19,18.51,37.499131,126.916718," S 보라매역세권 풀옵션, 지상층, 남향, 즉시입주가능",0,1,0
DDDGG,2,50,77,25,37.495232,126.901326,"주차가능,대림역 5분거리,풀옵션,분리형,환하고 밝음",1,1,0
OR,B1,34,30,24,37.496092,126.906765,넓은원룸  빠른입주가능 풀옵션 관리비포함40만원입니다,1,0,1
OR,B1,50,-,21.48,37.49697,126.905834,신풍역 역세권 분리형 대형 원룸초가성비 월세특급매물,0,0,0
OR,4,60,25,20,37.495815,126.896804,"정말 넓은 역세권 풀옵션 엘베O, 주차O 즉시입주 가능합니다.",0,1,1
DDDGG,3,38,18,18.01,37.496146,126.906974,풀옵션에 원목침대. 대형마트. 주거환경 매우 우수함.,0,0,1
OR,2,32,25,20,37.498855,126.915951,,0,1,1
OR,1,32,20,17.19,37.4991,126.917069,초역세권에 평지에 이가격이랍니다,0,1,0
OR,B1,30,56,18.76,37.496324,126.904725,,0,0,1
DDDGG,2,50,30,30,37.495911,126.906545,"2층주인세대, 방2개 햇빛들어옴",0,0,1
OR,3,45,-,19,37.491684,126.904428,분리형 풀옵션 깔끔하고 저렴한 원룸,0,0,0
OR,2,30,16,16.5,37.497381,126.915215,"저렴한 방, 지상층, 풀옵션, 빠른입주 가능",1,1,0
OR,3,40,23,19.84,37.498304,126.916423,보라매역 도보 6분 채광이 끝내주는 풀옵션 분리형 원룸,0,1,0
OR,2,48,24,21.16,37.496109,126.896681,,0,1,1
OR,4,40,21,19.83,37.498304,126.916423,보라매역 도보6분 풀옵션 원룸 엘베o 채광좋음 깔끔 가성비최고,0,1,0
OR,B1,33,30,19,37.497658,126.915494,보라매역 도보 7분 보라매공원 건넛편 완전 싼집 진짜 싼집 정말 싼집,0,1,0
OR,2,50,20,17,37.49825,126.917319,"역세권,풀옵션, 깨끗한 원룸 매물 나왔습니다.",0,1,0
OR,4,55,-,19.8,37.490933,126.89989,월세특급매물화이트톤 완전풀옵션신축급컨디션 보장합니다,0,1,0
OR,1,29,19,16.53,37.490446,126.906222,확인매물가성비 풀옵션 원룸,0,0,1
OR,B1,50,-,19.84,37.489436,126.903402,2호선 역세권 화이트톤 인테리어 준신축급 컨디션 예뻐서 계약하는방,1,0,0
OR,2,50,20,19.83,37.499131,126.916718,보라매역 도보5분 신축급 퓰옵원룸 화이트톤 깔끔 보증금조절가능,1,1,1
OR,3,50,19,19.8,37.49039,126.905232,2호선 구디역 신축급 큰원룸 양창에 채광좋은방 분리형구조,1,0,0
OR,1,50,19,19.1,37.499131,126.916718,즉시입주 가능한 채광 좋은 가성비원룸,0,1,0
OR,3,50,23,23.14,37.48929,126.901094,"2호선 꿀위치,깔끔하고 수납공간 많은 신축",0,0,1
OR,5,55,30,18.13,37.494068,126.899745, 주차8만 역세권 복층 풀옵션 오피스텔 엘베있음,0,1,0
OR,1,42,19,17.19,37.497027,126.897786, 저렴하고 깔끔한 지상층 풀옵션,0,1,0
OR,1,39,19,19.8,37.489805,126.903426,2호선 구로디지털단지역 도보7분 신축급 깔끔한 분리형구조의 가성비,0,0,0
OR,2,40,20,20,37.490563,126.906169,밝고 깨끗한 원룸  빠른입주가능 풀옵션,1,0,1
OR,2,35,19,16.53,37.490572,126.906042," 1000,32 조절가능 깔끔한 풀옵션",1,0,1
OR,3,50,21,17.85,37.489506,126.903305, 구디역 역세권 깔끔한 분리형 풀옵션,0,0,1
OR,3,50,23,6,37.49039,126.905232,"전입신고OK채광, 사이즈 모두다 굿",1,0,1
OR,2,48,23,19.84,37.489804,126.903426,"전입가능신축급 방 사이즈 매우 넓어요,",0,0,1
OR,3,40,19,16.53,37.490563,126.906169,전입가능신축급 깔끔한 지상층 원룸,1,0,0
OR,B1,45,23,22,37.499008,126.917509,보라매역세 5분 원룸큰방 깔끔함,0,1,0
OR,1,40,21,21.4,37.499131,126.916718,"역세권, 지층, 풀옵션, 치안안심, 밝은집",0,1,0
OR,4,55,21,14.52,37.493155,126.89643,초역세권 엘베있음 ,1,1,1
DDDGG,3,38,23,21,37.49604,126.909291,"옥탑큰방, 풀옵션,분리형주방,세탁실 창고,올수리 단열공사",0,0,1
OR,4,45,25,25,37.491673,126.901103,분리형 채광좋음 시세보다저렴해요,0,1,0
OR,3,40,19,19.84,37.489506,126.903305,"2호선 꿀위치,저렴하게 신축 원룸 사용 가능",0,0,1
VL,3,40,23,19.84,37.48988,126.899398,구디역세권 신축급 예쁜 분리형원룸 저렴하고 깔끔해요,0,1,0
OR,4,50,28,28,37.491033,126.898257,신축급 분리형 주방공간이 넓음 방1칸,1,1,0
DDDGG,B1,30,26,26.4,37.579081,126.909567,아주 저렴하고 위치 좋으며 교통 편리 하고 내부 깔끔한 평지층,0,0,1
DDDGG,2,40,34,33.1,37.582901,126.916949,북가좌동 깨끗한 원룸,1,0,1
DDDGG,B1,35,40,36,37.581828,126.916731,빌라형다가구 방2화1 입주협의,0,0,1
DDDGG,2,40,36,33,37.581417,126.91717,,0,0,1
DDDGG,2,25,20,20,37.593222,126.947017,깔끔한 풀옵션 원룸. 즉시입주 협의,1,0,1
OR,B1,35,15,15,37.564366,126.931823,연대 서문근처 상태좋은 저렴한 매물입니다,1,0,0
DDDGG,1,33,16,16.6,37.572004,126.927264,,1,0,0
DDDGG,B1,40,26,26.76,37.60208,126.948901,홍은동 대로변 1층 같은 지층 투룸 월세 즉시 또는 협의입주가,1,0,0
OR,2,30,34,34,37.593858,126.947431,평지 홍제역세권 즉시입주 미닫이포함 방2,0,0,1
