atclNm,flrInfo,rentPrc,spc1,spc2,lat,lng,atclFetrDesc,toilet,station,parking
DDDGG,1,55,164,22,37.537757,127.067473,올수리2년차 보증금최소월세 대출없음,0,1,0
DDDGG,3,60,10,10.08,37.539191,127.065127,"옥상 단독 사용, 풀옵션 공간 활용 좋은 원룸",0,1,0
OR,B1,30,17,17,37.537696,127.064466,건대입구역세권 도보8분 깔끔한 풀옵션 원룸,0,0,1
OR,2,50,19,16,37.538448,127.093432,풀옵션 남향 밝고 깨끗 초역세권 즉시입주가능,1,1,0
DDDGG,3,29,55,11.56,37.571071,127.080557,중곡동 깔끔한 풀옵션 원룸,0,0,0
OR,B1,30,23,22,37.531167,127.078616,,1,0,1
OR,B1,35,25,23,37.52506,126.853333,신정역2분 풀옵션 빠른입주가능,0,1,1
DDDGG,1,40,35,30,37.523038,126.850488,"신정네거리역,신정역 풀옵션1.5룸 주차가능 단기임대",0,1,0
DDDGG,3,40,31,31,37.518012,126.842758,"상태깨끗,이사협의,생활편리,교통이용편리",0,0,1
DDDGG,1,35,39,34.6,37.519834,126.849902,방2화1 지하철도보이용 도배.장판.씽크대 수리함. 방넓고 주방공간있어요,0,1,0
DDDGG,1,40,39,34.6,37.519834,126.849902,방2화1베1 저렴한지상층 주방공간O 지하철도보이용 연식대비깔끔 언덕위치함,0,1,0
DDDGG,B1,30,104,23,37.52194,126.849647,신정네거리역세권. 계단없는 지층. 방1.화1. 상태깨끗해요,1,1,0
DDDGG,B1,35,25,25,37.52194,126.849647,계단없음 지층임1층같음 방 주방 크고 깨끗함 즉시입주 신정네거리역5분,0,1,1
DDDGG,4,35,32,30,37.519244,126.854831,"전철3분,신서학군,즉시입주,공원앞",0,1,1
DDDGG,3,60,32,32.68,37.521049,126.854274,올수리 투룸 옥상마당 사용가능 사무실 공방 등 사용가능,0,0,0
DDDGG,1,35,35,35,37.520162,126.850106,"깔끔수리 함,즉시입주,전철5분",0,1,0
DDDGG,4,25,9,9.9,37.519564,126.850667,"분리형 원룸, 풀옵션, 옥상 마당 사용 가능한 옥탑",0,1,0
DDDGG,5,40,35,20,37.524496,126.851967,역세권 I 대로변 1.5룸 월세 I 설명란 확인,0,1,1
DDDGG,B1,35,39,39.1,37.519834,126.849902,"도배장판,싱크대,변기교체. 지하철역인접. 계단없는바닥1층",0,1,0
DDDGG,B1,25,31,31,37.517218,126.849807,즉시입주가 계단없는 지층 에어컨 가스렌지있음 상태 양호,0,1,1
VL,1,40,38,38.26,37.519335,126.848704,보증금 조정가능 진입이 편리하며 거주자 우선주차지역 방 오전만 볼수있음,0,0,1
DDDGG,1,40,39,39.1,37.519834,126.849902,"싱크대,변기,벽지,바닥교체. 지하철역인접.보일러실 넓어요. 1.5층",0,1,0
OR,B1,30,25,17,37.545565,126.874293,"염창역도보2분,풀옵션",1,1,0
OR,1,30,13,12.4,37.533452,126.865459,목사거리인근 신축급 올수리 여성전용 원룸,0,0,0
OR,B1,30,23,18.18,37.545565,126.874293,염창역 최저가 풀옵션 관리 잘해서 깔끔한 원룸,0,1,0
VL,3,47,19,15.75,37.534834,126.866647,깔끔하고 실용적인 저렴한 원룸월세,1,0,0
DDDGG,5,40,32,10.08,37.533862,126.864318,주차가능.옥탑방전용면적9.넓음.풀옵션.옥상씀.큰도로옆안전,1,0,0
OR,5,41,17,11.67,37.550155,126.86598,,1,1,0
DDDGG,B1,40,35,35,37.533696,126.865138,조용한 주택가. 바닥층. 도배 등 수리되어깨끗. 대중교통이용편리,0,0,1
DDDGG,B1,40,39,35.6,37.533696,126.865138,올수리 깨끗한 방2,0,0,1
OR,5,41,17,11.67,37.550155,126.86598,등촌역 초역세권 보증금 저렴한 원룸,0,1,0
OR,5,41,17,11.67,37.550155,126.86598,"안전한 대로변위치,9호선 등촌역 깨끗한 풀옵션",0,1,0
VL,2,57,39,39.57,37.524506,126.862248,풀옵션 깔끔 채광좋은 바닥층 목동역4분 빌라형 다가구,0,1,0
